questionLink,questionTitle,questionVotes,questionViews,questionAnsCount
https://stackoverflow.com/questions/495021/why-can-templates-only-be-implemented-in-the-header-file,Why can templates only be implemented in the header file?,2040,634k views,18
https://stackoverflow.com/questions/11922383/how-can-i-access-and-process-nested-objects-arrays-or-json,"How can I access and process nested objects, arrays or JSON?",1043,1.0m views,30
https://stackoverflow.com/questions/14028959/why-does-jquery-or-a-dom-method-such-as-getelementbyid-not-find-the-element,Why does jQuery or a DOM method such as getElementById not find the element?,553,162k views,6
https://stackoverflow.com/questions/38922754/how-to-use-threetenabp-in-android-project,How to use ThreeTenABP in Android Project,218,33k views,3
https://stackoverflow.com/questions/3577641/how-do-you-parse-and-process-html-xml-in-php,How do you parse and process HTML/XML in PHP?,2234,449k views,31
https://stackoverflow.com/questions/5605125/why-is-iostreameof-inside-a-loop-condition-i-e-while-stream-eof-cons,Why is iostream::eof inside a loop condition (i.e. `while (!stream.eof())`) considered wrong?,644,81k views,5
https://stackoverflow.com/questions/5741187/sql-injection-that-gets-around-mysql-real-escape-string,SQL injection that gets around mysql_real_escape_string(),730,280k views,4
https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-for-equality-against-a-single-value,How to test multiple variables for equality against a single value?,771,404k views,28
https://stackoverflow.com/questions/22662488/mysqli-fetch-assoc-expects-parameter-call-to-a-member-function-bind-param,mysqli_fetch_assoc() expects parameter / Call to a member function bind_param() errors. How to get the actual mysql error and fix it?,140,56k views,1
https://stackoverflow.com/questions/48369043/official-locator-strategies-for-the-webdriver,Official locator strategies for the webdriver,36,26k views,1
https://stackoverflow.com/questions/5554734/what-causes-a-java-lang-arrayindexoutofboundsexception-and-how-do-i-prevent-it,What causes a java.lang.ArrayIndexOutOfBoundsException and how do I prevent it?,341,806k views,26
https://stackoverflow.com/questions/5431941/why-is-while-feof-file-always-wrong,Why is “while ( !feof (file) )” always wrong?,639,260k views,5
https://stackoverflow.com/questions/13102045/scanner-is-skipping-nextline-after-using-next-or-nextfoo,Scanner is skipping nextLine() after using next() or nextFoo()?,862,686k views,23
https://stackoverflow.com/questions/13840429/what-is-the-difference-between-client-side-and-server-side-programming,What is the difference between client-side and server-side programming?,543,49k views,4
https://stackoverflow.com/questions/4172722/what-is-the-rule-of-three,What is The Rule of Three?,2372,329k views,8
https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response,Asking the user for input until they give a valid response,676,815k views,21
https://stackoverflow.com/questions/3127429/how-does-the-this-keyword-work,"How does the ""this"" keyword work?",1425,438k views,22
https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables,How do I create variable variables?,476,200k views,17
https://stackoverflow.com/questions/509211/understanding-slice-notation,Understanding slice notation,4124,2.4m views,33
https://stackoverflow.com/questions/23353173/unfortunately-myapp-has-stopped-how-can-i-solve-this,Unfortunately MyApp has stopped. How can I solve this?,850,518k views,22
https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly,List of lists changes reflected across sublists unexpectedly,835,59k views,17
https://stackoverflow.com/questions/111102/how-do-javascript-closures-work,How do JavaScript closures work?,7625,1.5m views,86
https://stackoverflow.com/questions/3102819/disable-same-origin-policy-in-chrome,Disable same origin policy in Chrome,1918,2.7m views,34
https://stackoverflow.com/questions/3422673/how-to-evaluate-a-math-expression-given-in-string-form,How to evaluate a math expression given in string form?,366,535k views,25
https://stackoverflow.com/questions/54897916/why-cant-an-element-with-a-z-index-value-cover-its-child,Why can't an element with a z-index value cover its child?,33,7k views,4
https://stackoverflow.com/questions/13773770/split-comma-separated-strings-in-a-column-into-separate-rows,Split comma-separated strings in a column into separate rows,133,43k views,6
https://stackoverflow.com/questions/42094465/correctly-allocating-multi-dimensional-arrays,Correctly allocating multi-dimensional arrays,85,10k views,2
https://stackoverflow.com/questions/10434599/get-the-data-received-in-a-flask-request,Get the data received in a Flask request,1055,1.4m views,23
https://stackoverflow.com/questions/1520800/why-does-a-regexp-with-global-flag-give-wrong-results,Why does a RegExp with global flag give wrong results?,319,53k views,7
https://stackoverflow.com/questions/9723208/aggregate-summarize-multiple-variables-per-group-e-g-sum-mean,"Aggregate / summarize multiple variables per group (e.g. sum, mean)",176,209k views,8
https://stackoverflow.com/questions/1687296/what-is-dom-event-delegation,What is DOM Event delegation?,236,128k views,11
https://stackoverflow.com/questions/159118/how-do-i-match-any-character-across-multiple-lines-in-a-regular-expression,How do I match any character across multiple lines in a regular expression?,469,777k views,25
https://stackoverflow.com/questions/1704407/what-is-the-difference-between-char-s-and-char-s,What is the difference between char s[] and char *s?,554,377k views,14
https://stackoverflow.com/questions/30279321/how-to-use-phps-password-hash-to-hash-and-verify-passwords,How to use PHP's password_hash to hash and verify passwords,122,229k views,6
https://stackoverflow.com/questions/263400/what-is-the-best-algorithm-for-overriding-gethashcode,What is the best algorithm for overriding GetHashCode?,1576,256k views,22
https://stackoverflow.com/questions/9229645/remove-duplicate-values-from-js-array,Remove duplicate values from JS array [duplicate],1906,2.3m views,54
https://stackoverflow.com/questions/42294/how-do-you-get-the-footer-to-stay-at-the-bottom-of-a-web-page,How do you get the footer to stay at the bottom of a Web page?,332,211k views,30
https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python,What are metaclasses in Python?,6594,971k views,23
https://stackoverflow.com/questions/38552116/how-to-remove-noise-from-gcc-clang-assembly-output,"How to remove ""noise"" from GCC/clang assembly output?",89,21k views,3
https://stackoverflow.com/questions/3010840/loop-through-an-array-in-javascript,Loop through an array in JavaScript,3646,4.5m views,44
https://stackoverflow.com/questions/3505701/grouping-functions-tapply-by-aggregate-and-the-apply-family,"Grouping functions (tapply, by, aggregate) and the *apply family",1108,423k views,10
https://stackoverflow.com/questions/1410563/what-is-the-difference-between-a-definition-and-a-declaration,What is the difference between a definition and a declaration?,969,406k views,25
https://stackoverflow.com/questions/3331353/transitions-on-the-css-display-property,Transitions on the CSS display property,1734,2.0m views,35
https://stackoverflow.com/questions/10865025/merge-flatten-an-array-of-arrays,Merge/flatten an array of arrays,1387,1.0m views,92
https://stackoverflow.com/questions/5619202/parsing-a-string-to-a-date-in-javascript,Parsing a string to a date in JavaScript,826,2.4m views,34
https://stackoverflow.com/questions/43459890/javascript-function-doesnt-work-when-link-is-clicked,javascript function doesn't work when link is clicked,7,6k views,4
https://stackoverflow.com/questions/1008019/c-singleton-design-pattern,C++ Singleton design pattern,831,820k views,24
https://stackoverflow.com/questions/3418128/how-to-convert-a-factor-to-integer-numeric-without-loss-of-information,How to convert a factor to integer\numeric without loss of information?,663,1.1m views,11
https://stackoverflow.com/questions/20646822/how-to-serve-static-files-in-flask,How to serve static files in Flask,711,824k views,25
https://stackoverflow.com/questions/36577020/php-failed-to-open-stream-no-such-file-or-directory,PHP - Failed to open stream : No such file or directory,202,648k views,9
https://stackoverflow.com/questions/7343833/srand-why-call-it-only-once,srand() — why call it only once?,88,81k views,7
https://stackoverflow.com/questions/28019793/submit-same-partial-view-called-multiple-times-data-to-controller,Submit same Partial View called multiple times data to controller?,27,27k views,1
https://stackoverflow.com/questions/2020088/sending-email-in-android-using-javamail-api-without-using-the-default-built-in-a,Sending Email in Android using JavaMail API without using the default/built-in app,683,459k views,25
https://stackoverflow.com/questions/4502633/how-to-affect-other-elements-when-one-element-is-hovered,How to affect other elements when one element is hovered,612,684k views,8
https://stackoverflow.com/questions/15933958/collapse-concatenate-aggregate-a-column-to-a-single-comma-separated-string-w,Collapse / concatenate / aggregate a column to a single comma separated string within each group,95,43k views,5
https://stackoverflow.com/questions/14132789/relative-imports-for-the-billionth-time,Relative imports for the billionth time,1230,382k views,13
https://stackoverflow.com/questions/493386/how-to-print-without-a-newline-or-space,How to print without a newline or space,2215,2.2m views,24
https://stackoverflow.com/questions/39980323/are-dictionaries-ordered-in-python-3-6,Are dictionaries ordered in Python 3.6+?,636,203k views,5
https://stackoverflow.com/questions/53218931/how-to-unnest-explode-a-column-in-a-pandas-dataframe-into-multiple-rows,"How to unnest (explode) a column in a pandas DataFrame, into multiple rows",182,87k views,16
https://stackoverflow.com/questions/129677/how-can-i-sanitize-user-input-with-php,How can I sanitize user input with PHP?,1217,608k views,18
https://stackoverflow.com/questions/1641957/is-an-array-name-a-pointer,Is an array name a pointer?,236,89k views,9
https://stackoverflow.com/questions/18222286/dynamically-select-data-frame-columns-using-and-a-character-value,Dynamically select data frame columns using $ and a character value,158,147k views,9
https://stackoverflow.com/questions/1716296/why-does-printf-not-flush-after-the-call-unless-a-newline-is-in-the-format-strin,Why does printf not flush after the call unless a newline is in the format string?,620,421k views,10
https://stackoverflow.com/questions/3255/big-o-how-do-you-calculate-approximate-it,"Big O, how do you calculate/approximate it?",938,476k views,24
https://stackoverflow.com/questions/494035/how-do-you-use-a-variable-in-a-regular-expression,How do you use a variable in a regular expression?,1673,1.0m views,23
https://stackoverflow.com/questions/480214/how-do-you-remove-duplicates-from-a-list-whilst-preserving-order,How do you remove duplicates from a list whilst preserving order?,900,633k views,33
https://stackoverflow.com/questions/40656589/firebase-query-if-child-of-child-contains-a-value,Firebase query if child of child contains a value,72,24k views,1
https://stackoverflow.com/questions/1120140/how-can-i-read-and-parse-csv-files-in-c,How can I read and parse CSV files in C++?,303,436k views,39
https://stackoverflow.com/questions/784929/what-is-the-not-not-operator-in-javascript,What is the !! (not not) operator in JavaScript?,3755,750k views,38
https://stackoverflow.com/questions/323972/is-there-any-way-to-kill-a-thread,Is there any way to kill a Thread?,883,996k views,29
https://stackoverflow.com/questions/132988/is-there-a-difference-between-and-is,"Is there a difference between ""=="" and ""is""?",629,444k views,14
https://stackoverflow.com/questions/3277503/how-to-read-a-file-line-by-line-into-a-list,How to read a file line-by-line into a list?,2026,4.3m views,28
https://stackoverflow.com/questions/32815451/are-global-variables-thread-safe-in-flask-how-do-i-share-data-between-requests,Are global variables thread-safe in Flask? How do I share data between requests?,128,58k views,4
https://stackoverflow.com/questions/6260089/strange-result-when-removing-item-from-a-list-while-iterating-over-it,Strange result when removing item from a list while iterating over it,68,15k views,7
https://stackoverflow.com/questions/10407159/how-to-manage-startactivityforresult-on-android,How to manage startActivityForResult on Android,1070,827k views,13
https://stackoverflow.com/questions/2631001/test-for-existence-of-nested-javascript-object-key,Test for existence of nested JavaScript object key,820,338k views,64
https://stackoverflow.com/questions/601300/what-is-sql-injection,What is SQL injection? [duplicate],102,40k views,9
https://stackoverflow.com/questions/448981/which-characters-are-valid-in-css-class-names-selectors,Which characters are valid in CSS class names/selectors?,1288,422k views,11
https://stackoverflow.com/questions/130794/what-is-dependency-injection,What is dependency injection?,3379,986k views,37
https://stackoverflow.com/questions/106508/what-is-a-smart-pointer-and-when-should-i-use-one,What is a smart pointer and when should I use one?,2031,656k views,14
https://stackoverflow.com/questions/78536/deep-cloning-objects,Deep cloning objects,2468,913k views,54
https://stackoverflow.com/questions/36921951/truth-value-of-a-series-is-ambiguous-use-a-empty-a-bool-a-item-a-any-o,"Truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()",645,1.4m views,11
https://stackoverflow.com/questions/2532729/daylight-saving-time-and-time-zone-best-practices,Daylight saving time and time zone best practices [closed],2132,454k views,30
https://stackoverflow.com/questions/15745042/efficiently-convert-rows-to-columns-in-sql-server,Efficiently convert rows to columns in sql server,445,1.1m views,3
https://stackoverflow.com/questions/24900875/whats-the-meaning-of-an-arrow-formed-from-equals-greater-than-in-javas,"What's the meaning of ""=>"" (an arrow formed from equals & greater than) in JavaScript?",492,328k views,14
https://stackoverflow.com/questions/12004603/mysql-pivot-row-into-dynamic-number-of-columns,MySQL pivot row into dynamic number of columns,85,106k views,1
https://stackoverflow.com/questions/41577234/why-does-spring-mvc-respond-with-a-404-and-report-no-mapping-found-for-http-req,"Why does Spring MVC respond with a 404 and report ""No mapping found for HTTP request with URI [...] in DispatcherServlet""?",102,86k views,11
https://stackoverflow.com/questions/381542/with-arrays-why-is-it-the-case-that-a5-5a,"With arrays, why is it the case that a[5] == 5[a]?",1735,112k views,19
https://stackoverflow.com/questions/70689/what-is-an-efficient-way-to-implement-a-singleton-pattern-in-java,What is an efficient way to implement a singleton pattern in Java? [closed],840,325k views,29
https://stackoverflow.com/questions/2600191/how-can-i-count-the-occurrences-of-a-list-item,How can I count the occurrences of a list item?,1922,2.4m views,29
https://stackoverflow.com/questions/10752055/cross-origin-requests-are-only-supported-for-http-error-when-loading-a-local,"""Cross origin requests are only supported for HTTP."" error when loading a local file",922,1.4m views,30
https://stackoverflow.com/questions/1126338/what-does-a-space-mean-in-a-css-selector-i-e-what-is-the-difference-between-c,What does a space mean in a CSS selector? i.e. What is the difference between .classA.classB and .classA .classB?,125,17k views,3
https://stackoverflow.com/questions/17863066/why-do-regex-constructors-need-to-be-double-escaped,Why do regex constructors need to be double escaped?,61,17k views,5
https://stackoverflow.com/questions/2844565/is-there-a-javascript-jquery-dom-change-listener,Is there a JavaScript / jQuery DOM change listener?,440,322k views,5
https://stackoverflow.com/questions/4343596/how-can-i-parse-a-json-file-with-php,How can I parse a JSON file with PHP? [duplicate],461,936k views,16
https://stackoverflow.com/questions/325933/determine-whether-two-date-ranges-overlap,Determine Whether Two Date Ranges Overlap,1441,515k views,36
https://stackoverflow.com/questions/520237/how-do-i-expire-a-php-session-after-30-minutes,How do I expire a PHP session after 30 minutes?,1131,1.1m views,17
https://stackoverflow.com/questions/17778372/why-does-my-recursive-function-return-none,Why does my recursive function return None?,86,108k views,4
https://stackoverflow.com/questions/1359018/how-do-i-attach-events-to-dynamic-html-elements-with-jquery,How do I attach events to dynamic HTML elements with jQuery? [duplicate],598,558k views,8
https://stackoverflow.com/questions/533905/get-the-cartesian-product-of-a-series-of-lists,Get the cartesian product of a series of lists?,421,286k views,17
https://stackoverflow.com/questions/487073/how-to-check-if-element-is-visible-after-scrolling,How to check if element is visible after scrolling?,1310,814k views,46
https://stackoverflow.com/questions/7627098/what-is-a-lambda-expression-in-c11,What is a lambda expression in C++11?,1678,598k views,10
https://stackoverflow.com/questions/1301346/what-is-the-meaning-of-single-and-double-underscore-before-an-object-name,What is the meaning of single and double underscore before an object name?,1577,557k views,17
https://stackoverflow.com/questions/8495687/split-array-into-chunks,Split array into chunks,760,846k views,69
https://stackoverflow.com/questions/81656/where-do-i-find-the-current-c-or-c-standard-documents,Where do I find the current C or C++ standard documents?,394,154k views,11
https://stackoverflow.com/questions/311165/how-do-you-convert-a-byte-array-to-a-hexadecimal-string-and-vice-versa,"How do you convert a byte array to a hexadecimal string, and vice versa?",1523,1.0m views,50
https://stackoverflow.com/questions/2647/how-do-i-split-a-string-so-i-can-access-item-x,How do I split a string so I can access item x?,513,896k views,45
https://stackoverflow.com/questions/26409117/why-use-integer-instead-of-long,Why Use Integer Instead of Long?,78,79k views,7
https://stackoverflow.com/questions/1184624/convert-form-data-to-javascript-object-with-jquery,Convert form data to JavaScript object with jQuery,1714,1.0m views,59
https://stackoverflow.com/questions/5208679/order-bars-in-ggplot2-bar-graph,Order Bars in ggplot2 bar graph,343,433k views,14
https://stackoverflow.com/questions/1239938/accessing-an-array-out-of-bounds-gives-no-error-why,"Accessing an array out of bounds gives no error, why?",217,142k views,18
https://stackoverflow.com/questions/805107/creating-multiline-strings-in-javascript,Creating multiline strings in JavaScript,3101,2.0m views,42
https://stackoverflow.com/questions/45494/mysql-error-1093-cant-specify-target-table-for-update-in-from-clause,MySQL Error 1093 - Can't specify target table for update in FROM clause,730,587k views,16
https://stackoverflow.com/questions/4231382/what-to-do-regular-expression-pattern-doesnt-match-anywhere-in-string,What to do Regular expression pattern doesn't match anywhere in string?,192,62k views,8
https://stackoverflow.com/questions/97197/what-is-the-n1-selects-problem-in-orm-object-relational-mapping,"What is the ""N+1 selects problem"" in ORM (Object-Relational Mapping)?",1932,541k views,18
https://stackoverflow.com/questions/3059044/google-maps-js-api-v3-simple-multiple-marker-example,Google Maps JS API v3 - Simple Multiple Marker Example,705,881k views,15
https://stackoverflow.com/questions/28075743/how-do-i-compose-a-rotation-matrix-with-human-readable-angles-from-scratch,How do I compose a rotation matrix with human readable angles from scratch?,28,14k views,1
https://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp,"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?",6169,1.4m views,36
https://stackoverflow.com/questions/4616694/what-is-event-bubbling-and-capturing,What is event bubbling and capturing?,1169,488k views,8
https://stackoverflow.com/questions/9671546/asynctask-android-example,AsyncTask Android example,700,1.0m views,21
https://stackoverflow.com/questions/2785485/is-there-a-unique-android-device-id,Is there a unique Android device ID?,2963,1.2m views,51
https://stackoverflow.com/questions/5706437/whats-the-difference-between-inner-join-left-join-right-join-and-full-join,"What's the difference between INNER JOIN, LEFT JOIN, RIGHT JOIN and FULL JOIN? [duplicate]",1986,1.9m views,3
